Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
17872357,"21:23, 21 July 2015",MiscBot,False,cleanup,active,,2,(Correcting spelling and/or grammar.)
17806737,"14:08, 14 July 2015",SarahB,False,revert,active,,-89,(RCP reverted edits by Yeshhitslauren (talk) to  revision #17761359 by Votebot)
17806443,"12:59, 14 July 2015",Yeshhitslauren,False,addition,reverted,SarahB,89,(New tip approved in Tips Patrol)
17761359,"13:55, 8 July 2015",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
17727358,"23:37, 2 July 2015",LunaLily,False,addition,active,,63,(New tip approved in Tips Patrol)
17597334,"13:07, 13 June 2015",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
17332452,"13:15, 13 May 2015",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
17099081,"12:56, 12 April 2015",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
16860559,"12:44, 12 March 2015",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
16606795,"14:49, 9 February 2015",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
16581233,"17:49, 6 February 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
16336772,"14:37, 9 January 2015",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
16205407,"04:44, 22 December 2014",Isorhythmic,False,revert,active,,-51,(RCP reverted edits by 285049 (talk) to  revision #16126702 by Wikivisual)
16205386,"04:42, 22 December 2014",285049,False,addition,reverted,Isorhythmic,51,(New tip approved in Tips Patrol)
16126702,"17:23, 11 December 2014",Wikivisual,False,addition,reverted,Isorhythmic,10,(Saving new step-by-step photos)
16105301,"15:23, 9 December 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
16084694,"02:16, 7 December 2014",A8472,False,addition,active,,96,(New tip approved in Tips Patrol)
16062543,"12:10, 4 December 2014",Wikivisual,False,deletion,reverted,Isorhythmic,-58,(Saving new step-by-step photos)
15576136,"20:44, 8 October 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
15295173,"18:44, 7 September 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
